Day,Month,AQI,Year,Date,AQI_Category,Season,Month_Num
10,April,148,2024,10-04-2024,Moderate,Summer,4
11,April,146,2024,11-04-2024,Moderate,Summer,4
12,April,158,2024,12-04-2024,Moderate,Summer,4
13,April,85,2024,13-04-2024,Satisfactory,Summer,4
14,April,98,2024,14-04-2024,Satisfactory,Summer,4
15,April,93,2024,15-04-2024,Satisfactory,Summer,4
16,April,108,2024,16-04-2024,Moderate,Summer,4
17,April,98,2024,17-04-2024,Satisfactory,Summer,4
18,April,138,2024,18-04-2024,Moderate,Summer,4
19,April,98,2024,19-04-2024,Satisfactory,Summer,4
20,April,117,2024,20-04-2024,Moderate,Summer,4
21,April,123,2024,21-04-2024,Moderate,Summer,4
22,April,127,2024,22-04-2024,Moderate,Summer,4
23,April,158,2024,23-04-2024,Moderate,Summer,4
24,April,118,2024,24-04-2024,Moderate,Summer,4
25,April,102,2024,25-04-2024,Moderate,Summer,4
26,April,121,2024,26-04-2024,Moderate,Summer,4
27,April,99,2024,27-04-2024,Satisfactory,Summer,4
28,April,157,2024,28-04-2024,Moderate,Summer,4
29,April,118,2024,29-04-2024,Moderate,Summer,4
30,April,166,2024,30-04-2024,Moderate,Summer,4
1,May,132,2024,01-05-2024,Moderate,Summer,5
2,May,117,2024,02-05-2024,Moderate,Summer,5
3,May,112,2024,03-05-2024,Moderate,Summer,5
4,May,118,2024,04-05-2024,Moderate,Summer,5
5,May,122,2024,05-05-2024,Moderate,Summer,5
6,May,103,2024,06-05-2024,Moderate,Summer,5
7,May,88,2024,07-05-2024,Satisfactory,Summer,5
8,May,108,2024,08-05-2024,Moderate,Summer,5
9,May,92,2024,09-05-2024,Satisfactory,Summer,5
10,May,94,2024,10-05-2024,Satisfactory,Summer,5
11,May,128,2024,11-05-2024,Moderate,Summer,5
12,May,96,2024,12-05-2024,Satisfactory,Summer,5
13,May,123,2024,13-05-2024,Moderate,Summer,5
14,May,77,2024,14-05-2024,Satisfactory,Summer,5
15,May,98,2024,15-05-2024,Satisfactory,Summer,5
16,May,106,2024,16-05-2024,Moderate,Summer,5
17,May,90,2024,17-05-2024,Satisfactory,Summer,5
18,May,114,2024,18-05-2024,Moderate,Summer,5
19,May,93,2024,19-05-2024,Satisfactory,Summer,5
20,May,98,2024,20-05-2024,Satisfactory,Summer,5
21,May,81,2024,21-05-2024,Satisfactory,Summer,5
22,May,94,2024,22-05-2024,Satisfactory,Summer,5
25,May,96,2024,25-05-2024,Satisfactory,Summer,5
26,May,73,2024,26-05-2024,Satisfactory,Summer,5
27,May,76,2024,27-05-2024,Satisfactory,Summer,5
28,May,74,2024,28-05-2024,Satisfactory,Summer,5
29,May,58,2024,29-05-2024,Satisfactory,Summer,5
30,May,71,2024,30-05-2024,Satisfactory,Summer,5
31,May,64,2024,31-05-2024,Satisfactory,Summer,5
1,June,63,2024,01-06-2024,Satisfactory,Monsoon,6
2,June,58,2024,02-06-2024,Satisfactory,Monsoon,6
3,June,57,2024,03-06-2024,Satisfactory,Monsoon,6
4,June,60,2024,04-06-2024,Satisfactory,Monsoon,6
5,June,64,2024,05-06-2024,Satisfactory,Monsoon,6
6,June,58,2024,06-06-2024,Satisfactory,Monsoon,6
7,June,74,2024,07-06-2024,Satisfactory,Monsoon,6
8,June,58,2024,08-06-2024,Satisfactory,Monsoon,6
9,June,56,2024,09-06-2024,Satisfactory,Monsoon,6
10,June,58,2024,10-06-2024,Satisfactory,Monsoon,6
11,June,56,2024,11-06-2024,Satisfactory,Monsoon,6
12,June,66,2024,12-06-2024,Satisfactory,Monsoon,6
